
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;16I1419: Torres Novas;34970;16564;18406;
;16I0510: Vila de Rei;3321;1490;1831;
;16I1420: Vila Nova da Barquinha;7402;3547;3855;
;16J: Beiras e Serra da Estrela;213326;100568;112758;
;16J0902: Almeida;5926;2736;3190;
;16J0501: Belmonte;6407;3053;3354;
;16J0903: Celorico da Beira;6978;3244;3734;
;16J0503: Covilhã;47127;22322;24805;
;16J0904: Figueira de Castelo Rodrigo;5652;2698;2954;
;16J0905: Fornos de Algodres;4561;2077;2484;
;16J0504: Fundão;26719;12726;13993;
;16J0906: Gouveia;12486;5665;6821;
;16J0907: Guarda;39103;18565;20538;
;16J0908: Manteigas;3037;1429;1608;
;16J0909: Mêda;4617;2191;2426;
;16J0910: Pinhel;8607;4012;4595;
;16J0911: Sabugal;10748;5040;5708;
;16J0912: Seia;22412;10566;11846;
;16J0913: Trancoso;8946;4244;4702;
;17: Área Metropolitana de Lisboa;2846332;1331103;1515229;
;170: Área Metropolitana de Lisboa;2846332;1331103;1515229;
;1701502: Alcochete;19505;9327;10178;
;1701503: Almada;168987;78866;90121;
;1701115: Amadora;181724;84327;97397;
;1701504: Barreiro;75419;35006;40413;
;1701105: Cascais;212474;98346;114128;
;1701106: Lisboa;507220;232248;274972;
;1701107: Loures;211359;99657;111702;
;1701109: Mafra;84008;40507;43501;
;1701506: Moita;64526;30297;34229;
;1701507: Montijo;56887;27499;29388;
;1701116: Odivelas;159602;74680;84922;
;1701110: Oeiras;176218;81214;95004;
;1701508: Palmela;64214;30608;33606;
;1701510: Seixal;166835;78608;88227;
;1701511: Sesimbra;51559;25008;26551;
;1701512: Setúbal;115758;54513;61245;
;1701111: Sintra;388434;183301;205133;
;1701114: Vila Franca de Xira;141603;67091;74512;
;18: Alentejo;705478;338876;366602;
;181: Alentejo Litoral;93259;45801;47458;
;1811501: Alcácer do Sal;11712;5552;6160;
;1811505: Grândola;14570;7606;6964;
