
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;3003109: Santana;7272;3282;3990;
;3003110: São Vicente;5416;2500;2916;
2012;PT: Portugal;10487289;4995697;5491592;
;1: Continente;9976649;4750790;5225859;
;11: Norte;3666234;1750568;1915666;
;111: Alto Minho;242159;112884;129275;
;1111601: Arcos de Valdevez;22426;10210;12216;
;1111602: Caminha;16512;7643;8869;
;1111603: Melgaço;8943;3952;4991;
;1111604: Monção;19025;8633;10392;
;1111605: Paredes de Coura;9086;4328;4758;
;1111606: Ponte da Barca;11889;5482;6407;
;1111607: Ponte de Lima;43283;20336;22947;
;1111608: Valença;13933;6489;7444;
;1111609: Viana do Castelo;87896;41426;46470;
;1111610: Vila Nova de Cerveira;9166;4385;4781;
;112: Cávado;410090;196437;213653;
;1120301: Amares;18709;9051;9658;
;1120302: Barcelos;120084;57973;62111;
;1120303: Braga;182110;86790;95320;
;1120306: Esposende;34286;16294;17992;
;1120310: Terras de Bouro;7000;3353;3647;
;1120313: Vila Verde;47901;22976;24925;
;119: Ave;423817;204373;219444;
;1190304: Cabeceiras de Basto;16520;8024;8496;
;1190307: Fafe;50249;23704;26545;
;1190308: Guimarães;157214;76139;81075;
;1191705: Mondim de Basto;7401;3560;3841;
;1190309: Póvoa de Lanhoso;21889;10404;11485;
;1190311: Vieira do Minho;12719;6113;6606;
;1190312: Vila Nova de Famalicão;133974;64762;69212;
;1190314: Vizela;23851;11667;12184;
;11A: Área Metropolitana do Porto;1750297;831818;918479;
;11A0104: Arouca;22002;10597;11405;
;11A0107: Espinho;30929;14627;16302;
;11A1304: Gondomar;168016;80644;87372;
;11A1306: Maia;136017;64994;71023;
;11A1308: Matosinhos;175321;83062;92259;
;11A0113: Oliveira de Azeméis;68186;32902;35284;
;11A1310: Paredes;87020;42537;44483;
;11A1312: Porto;227535;103132;124403;
;11A1313: Póvoa de Varzim;63282;29898;33384;
;11A0109: Santa Maria da Feira;140066;67573;72493;
;11A1314: Santo Tirso;70996;33893;37103;
;11A0116: São João da Madeira;21685;10219;11466;
;11A1318: Trofa;38843;18683;20160;
;11A0119: Vale de Cambra;22558;10903;11655;
;11A1315: Valongo;94884;45344;49540;
;11A1316: Vila do Conde;79808;38480;41328;
;11A1317: Vila Nova de Gaia;303149;144330;158819;
;11B: Alto Tâmega;92395;44142;48253;
;11B1702: Boticas;5591;2674;2917;
;11B1703: Chaves;40903;19532;21371;
;11B1706: Montalegre;10163;4885;5278;
;11B1709: Ribeira de Pena;6419;3157;3262;
;11B1712: Valpaços;16407;7698;8709;
;11B1713: Vila Pouca de Aguiar;12912;6196;6716;
;11C: Tâmega e Sousa;430620;209163;221457;
;11C1301: Amarante;55677;26655;29022;
;11C1302: Baião;20119;9622;10497;
;11C0106: Castelo de Paiva;16432;8014;8418;
;11C0305: Celorico de Basto;19952;9678;10274;
;11C1804: Cinfães;19953;9695;10258;
;11C1303: Felgueiras;57904;27910;29994;
;11C1305: Lousada;47450;23047;24403;
;11C1307: Marco de Canaveses;53273;25918;27355;
;11C1309: Paços de Ferreira;56929;28347;28582;
;11C1311: Penafiel;71848;34882;36966;
;11C1813: Resende;11083;5395;5688;
;11D: Douro;201741;96350;105391;
;11D1701: Alijó;11641;5587;6054;
;11D1801: Armamar;6150;2895;3255;
;11D0403: Carrazeda de Ansiães;6173;2948;3225;
;11D0404: Freixo de Espada à Cinta;3677;1752;1925;
;11D1805: Lamego;26293;12545;13748;
;11D1704: Mesão Frio;4311;2028;2283;
;11D1807: Moimenta da Beira;10106;4842;5264;
;11D1707: Murça;5861;2825;3036;
;11D1812: Penedono;2876;1379;1497;
;11D1708: Peso da Régua;16793;7937;8856;
;11D1710: Sabrosa;6256;3011;3245;
;11D1711: Santa Marta de Penaguião;7152;3359;3793;
;11D1815: São João da Pesqueira;7666;3772;3894;
;11D1818: Sernancelhe;5634;2726;2908;
;11D1819: Tabuaço;6301;3014;3287;
;11D1820: Tarouca;7959;3847;4112;
;11D0409: Torre de Moncorvo;8373;4000;4373;
;11D0914: Vila Nova de Foz Côa;7102;3349;3753;
;11D1714: Vila Real;51417;24534;26883;
;11E: Terras de Trás-os-Montes;115115;55401;59714;
;11E0401: Alfândega da Fé;4922;2388;2534;
;11E0402: Bragança;34983;16848;18135;
;11E0405: Macedo de Cavaleiros;15426;7307;8119;
;11E0406: Miranda do Douro;7400;3627;3773;
;11E0407: Mirandela;23324;11076;12248;
;11E0408: Mogadouro;9247;4523;4724;
;11E0410: Vila Flor;6531;3130;3401;
;11E0411: Vimioso;4518;2198;2320;
;11E0412: Vinhais;8764;4304;4460;
;16: Centro;2298938;1093565;1205373;
;16B: Oeste;361374;173970;187404;
;16B1001: Alcobaça;56037;27034;29003;
;16B1101: Alenquer;43194;20989;22205;
;16B1102: Arruda dos Vinhos;13936;6800;7136;
;16B1005: Bombarral;13011;6271;6740;
;16B1104: Cadaval;14105;6796;7309;
;16B1006: Caldas da Rainha;51793;24471;27322;
;16B1108: Lourinhã;25705;12423;13282;
;16B1011: Nazaré;14813;7033;7780;
;16B1012: Óbidos;11757;5701;6056;
;16B1014: Peniche;27404;13212;14192;
;16B1112: Sobral de Monte Agraço;10193;5007;5186;
;16B1113: Torres Vedras;79426;38233;41193;
;16D: Região de Aveiro;367764;175262;192502;
;16D0101: Águeda;47371;22704;24667;
;16D0102: Albergaria-a-Velha;24907;12013;12894;
;16D0103: Anadia;28656;13672;14984;
;16D0105: Aveiro;77675;36527;41148;
;16D0108: Estarreja;26710;12837;13873;
;16D0110: Ílhavo;38502;18265;20237;
;16D0112: Murtosa;10488;5042;5446;
;16D0114: Oliveira do Bairro;23356;11071;12285;
;16D0115: Ovar;55094;26378;28716;
;16D0117: Sever do Vouga;12125;5838;6287;
;16D0118: Vagos;22880;10915;11965;
;16E: Região de Coimbra;452396;213323;239073;
;16E0601: Arganil;11851;5637;6214;
;16E0602: Cantanhede;36389;17256;19133;
;16E0603: Coimbra;139151;64757;74394;
;16E0604: Condeixa-a-Nova;17320;8079;9241;
;16E0605: Figueira da Foz;61505;28962;32543;
;16E0606: Góis;4120;1914;2206;
;16E0607: Lousã;17439;8440;8999;
;16E0111: Mealhada;20343;9702;10641;
;16E0608: Mira;12324;5815;6509;
;16E0609: Miranda do Corvo;13048;6273;6775;
;16E0610: Montemor-o-Velho;26048;12510;13538;
;16E1808: Mortágua;9439;4481;4958;
;16E0611: Oliveira do Hospital;20519;9811;10708;
;16E0612: Pampilhosa da Serra;4314;1989;2325;
;16E0613: Penacova;14887;6992;7895;
;16E0614: Penela;5821;2742;3079;
;16E0615: Soure;18740;8863;9877;
;16E0616: Tábua;11931;5679;6252;
;16E0617: Vila Nova de Poiares;7207;3421;3786;
;16F: Região de Leiria;292525;140140;152385;
;16F1002: Alvaiázere;7155;3330;3825;
;16F1003: Ansião;12897;6066;6831;
;16F1004: Batalha;15820;7603;8217;
;16F1007: Castanheira de Pêra;3026;1423;1603;
;16F1008: Figueiró dos Vinhos;6031;2829;3202;
;16F1009: Leiria;126348;60797;65551;
;16F1010: Marinha Grande;38709;18492;20217;
;16F1013: Pedrógão Grande;3761;1787;1974;
;16F1015: Pombal;54624;26069;28555;
;16F1016: Porto de Mós;24154;11744;12410;
;16G: Viseu Dão Lafões;264213;124887;139326;
;16G0901: Aguiar da Beira;5308;2482;2826;
;16G1802: Carregal do Sal;9711;4613;5098;
;16G1803: Castro Daire;14976;7187;7789;
;16G1806: Mangualde;19633;9443;10190;
;16G1809: Nelas;13798;6528;7270;
;16G1810: Oliveira de Frades;10207;4851;5356;
;16G1811: Penalva do Castelo;7795;3717;4078;
;16G1814: Santa Comba Dão;11317;5301;6016;
;16G1816: São Pedro do Sul;16521;7716;8805;
;16G1817: Sátão;12261;5804;6457;
;16G1821: Tondela;28488;13502;14986;
;16G1822: Vila Nova de Paiva;5079;2392;2687;
;16G1823: Viseu;98778;46445;52333;
;16G1824: Vouzela;10341;4906;5435;
;16H: Beira Baixa;86879;41260;45619;
;16H0502: Castelo Branco;55005;26091;28914;
;16H0505: Idanha-a-Nova;9339;4442;4897;
;16H0506: Oleiros;5544;2617;2927;
;16H0507: Penamacor;5443;2653;2790;
;16H0508: Proença-a-Nova;8116;3863;4253;
;16H0511: Vila Velha de Ródão;3432;1594;1838;
;16I: Médio Tejo;243745;115702;128043;
;16I1401: Abrantes;38201;18319;19882;
;16I1402: Alcanena;13567;6492;7075;
;16I1408: Constância;4053;1918;2135;
;16I1410: Entroncamento;20421;9661;10760;
;16I1411: Ferreira do Zêzere;8460;4001;4459;
;16I1413: Mação;7089;3365;3724;
;16I1421: Ourém;45638;21510;24128;
;16I1417: Sardoal;3913;1903;2010;
;16I0509: Sertã;15612;7393;8219;
;16I1418: Tomar;39666;18753;20913;
;16I1419: Torres Novas;36338;17283;19055;
;16I0510: Vila de Rei;3453;1568;1885;
;16I1420: Vila Nova da Barquinha;7334;3536;3798;
;16J: Beiras e Serra da Estrela;230042;109021;121021;
;16J0902: Almeida;6835;3188;3647;
;16J0501: Belmonte;6723;3233;3490;
;16J0903: Celorico da Beira;7512;3514;3998;
;16J0503: Covilhã;50486;24039;26447;
;16J0904: Figueira de Castelo Rodrigo;6162;2952;3210;
;16J0905: Fornos de Algodres;4920;2290;2630;
;16J0504: Fundão;28560;13643;14917;
;16J0906: Gouveia;13655;6277;7378;
;16J0907: Guarda;41549;19772;21777;
;16J0908: Manteigas;3347;1579;1768;
;16J0909: Mêda;5026;2387;2639;
;16J0910: Pinhel;9334;4424;4910;
;16J0911: Sabugal;12146;5692;6454;
;16J0912: Seia;24121;11452;12669;
;16J0913: Trancoso;9666;4579;5087;
;17: Área Metropolitana de Lisboa;2818388;1329450;1488938;
;170: Área Metropolitana de Lisboa;2818388;1329450;1488938;
;1701502: Alcochete;18175;8736;9439;
;1701503: Almada;172206;81363;90843;
;1701115: Amadora;175631;82344;93287;
;1701504: Barreiro;77941;36730;41211;
;1701105: Cascais;208321;97524;110797;
;1701106: Lisboa;529357;242171;287186;
;1701107: Loures;202374;96481;105893;
;1701109: Mafra;79297;38503;40794;
;1701506: Moita;65831;31423;34408;
;1701507: Montijo;53233;25728;27505;
;1701116: Odivelas;149384;70753;78631;
;1701110: Oeiras;172822;80197;92625;
;1701508: Palmela;63694;30723;32971;
;1701510: Seixal;161436;77195;84241;
;1701511: Sesimbra;50214;24652;25562;
;1701512: Setúbal;119799;57086;62713;
;1701111: Sintra;379963;181293;198670;
;1701114: Vila Franca de Xira;138710;66548;72162;
;18: Alentejo;748699;362261;386438;
;181: Alentejo Litoral;97414;48341;49073;
;1811501: Alcácer do Sal;12716;6154;6562;
;1811505: Grândola;14954;7663;7291;
;1810211: Odemira;25835;12986;12849;
;1811509: Santiago do Cacém;29833;14604;15229;
;1811513: Sines;14076;6934;7142;
;184: Baixo Alentejo;124690;60895;63795;
;1840201: Aljustrel;9031;4457;4574;
;1840202: Almodôvar;7311;3587;3724;
;1840203: Alvito;2533;1221;1312;
;1840204: Barrancos;1782;862;920;
;1840205: Beja;35319;17184;18135;
;1840206: Castro Verde;7290;3589;3701;
;1840207: Cuba;4887;2382;2505;
;1840208: Ferreira do Alentejo;8218;3987;4231;
;1840209: Mértola;6978;3428;3550;
;1840210: Moura;14809;7222;7587;
;1840212: Ourique;5221;2554;2667;
;1840213: Serpa;15467;7579;7888;
;1840214: Vidigueira;5844;2843;3001;
;185: Lezíria do Tejo;246952;118896;128056;
;1851403: Almeirim;23479;11094;12385;
;1851404: Alpiarça;7593;3661;3932;
;1851103: Azambuja;22306;11538;10768;
;1851405: Benavente;29683;14437;15246;
;1851406: Cartaxo;24504;11785;12719;
;1851407: Chamusca;9967;4789;5178;
;1851409: Coruche;19503;9290;10213;
;1851412: Golegã;5826;2707;3119;
;1851414: Rio Maior;21110;10196;10914;
;1851415: Salvaterra de Magos;22196;10614;11582;
;1851416: Santarém;60785;28785;32000;
;186: Alto Alentejo;115663;55340;60323;
;1861201: Alter do Chão;3501;1651;1850;
;1861202: Arronches;3124;1500;1624;
;1861203: Avis;4529;2155;2374;
;1861204: Campo Maior;8389;4066;4323;
;1861205: Castelo de Vide;3297;1573;1724;
;1861206: Crato;3593;1675;1918;
;1861207: Elvas;22566;10813;11753;
;1861208: Fronteira;3295;1556;1739;
;1861209: Gavião;3977;1881;2096;
;1861210: Marvão;3428;1678;1750;
;1861211: Monforte;3270;1514;1756;
;1861212: Nisa;7163;3395;3768;
;1861213: Ponte de Sor;16366;7900;8466;
;1861214: Portalegre;24230;11658;12572;
;1861215: Sousel;4935;2325;2610;
;187: Alentejo Central;163980;78789;85191;
;1870701: Alandroal;5687;2757;2930;
;1870702: Arraiolos;7341;3560;3781;
;1870703: Borba;7245;3567;3678;
;1870704: Estremoz;13944;6632;7312;
;1870705: Évora;55624;26300;29324;
;1870706: Montemor-o-Novo;17073;8255;8818;
;1870707: Mora;4790;2312;2478;
;1870708: Mourão;2622;1295;1327;
;1870709: Portel;6326;3118;3208;
;1870710: Redondo;6922;3362;3560;
;1870711: Reguengos de Monsaraz;10721;5241;5480;
;1870712: Vendas Novas;11827;5648;6179;
;1870713: Viana do Alentejo;5623;2727;2896;
;1870714: Vila Viçosa;8235;4015;4220;
;15: Algarve;444390;214946;229444;
;150: Algarve;444390;214946;229444;
;1500801: Albufeira;40190;19588;20602;
;1500802: Alcoutim;2725;1354;1371;
;1500803: Aljezur;5724;2809;2915;
;1500804: Castro Marim;6588;3256;3332;
;1500805: Faro;62714;29953;32761;
;1500806: Lagoa;22783;11121;11662;
;1500807: Lagos;30776;14808;15968;
;1500808: Loulé;69391;33577;35814;
;1500809: Monchique;5755;2857;2898;
;1500810: Olhão;45216;21813;23403;
;1500811: Portimão;55209;26444;28765;
;1500812: São Brás de Alportel;10552;5157;5395;
;1500813: Silves;36724;18188;18536;
;1500814: Tavira;25753;12406;13347;
;1500815: Vila do Bispo;5223;2577;2646;
;1500816: Vila Real de Santo António;19067;9038;10029;
;2: Região Autónoma dos Açores;247549;121768;125781;
;20: Região Autónoma dos Açores;247549;121768;125781;
;200: Região Autónoma dos Açores;247549;121768;125781;
;2004301: Angra do Heroísmo;35189;17081;18108;
;2004501: Calheta;3569;1783;1786;
;2004901: Corvo;448;250;198;
;2004701: Horta;15013;7328;7685;
;2004201: Lagoa;14605;7220;7385;
;2004801: Lajes das Flores;1528;805;723;
;2004601: Lajes do Pico;4708;2307;2401;
;2004602: Madalena;6055;2952;3103;
;2004202: Nordeste;4996;2487;2509;
;2004203: Ponta Delgada;68876;33567;35309;
;2004204: Povoação;6253;3046;3207;
;2004205: Ribeira Grande;32513;16383;16130;
;2004401: Santa Cruz da Graciosa;4410;2160;2250;
;2004802: Santa Cruz das Flores;2258;1105;1153;
;2004603: São Roque do Pico;3380;1674;1706;
;2004502: Velas;5357;2682;2675;
;2004302: Vila da Praia da Vitória;21451;10609;10842;
;2004101: Vila do Porto;5632;2717;2915;
;2004206: Vila Franca do Campo;11308;5612;5696;
;3: Região Autónoma da Madeira;263091;123139;139952;
;30: Região Autónoma da Madeira;263091;123139;139952;
;300: Região Autónoma da Madeira;263091;123139;139952;
;3003101: Calheta;11372;5113;6259;
;3003102: Câmara de Lobos;35025;16757;18268;
;3003103: Funchal;109149;50378;58771;
;3003104: Machico;21336;10302;11034;
;3003105: Ponta do Sol;8798;4014;4784;
;3003106: Porto Moniz;2582;1108;1474;
;3003201: Porto Santo;5346;2650;2696;
;3003107: Ribeira Brava;13032;5884;7148;
;3003108: Santa Cruz;43529;21024;22505;
;3003109: Santana;7404;3358;4046;
;3003110: São Vicente;5518;2551;2967;
2011;PT: Portugal;10542398;5030437;5511961;
;1: Continente;10030968;4784990;5245978;
;11: Norte;3687224;1763848;1923376;
;111: Alto Minho;244149;114020;130129;
;1111601: Arcos de Valdevez;22709;10359;12350;
;1111602: Caminha;16645;7716;8929;
;1111603: Melgaço;9137;4053;5084;
;1111604: Monção;19186;8713;10473;
;1111605: Paredes de Coura;9166;4368;4798;
;1111606: Ponte da Barca;12018;5572;6446;
;1111607: Ponte de Lima;43482;20486;22996;
;1111608: Valença;14045;6565;7480;
;1111609: Viana do Castelo;88522;41774;46748;
;1111610: Vila Nova de Cerveira;9239;4414;4825;
;112: Cávado;411028;197173;213855;
;1120301: Amares;18830;9110;9720;
;1120302: Barcelos;120515;58281;62234;
;1120303: Braga;182176;86986;95190;
;1120306: Esposende;34371;16345;18026;
;1120310: Terras de Bouro;7141;3422;3719;
;1120313: Vila Verde;47995;23029;24966;
;119: Ave;425661;205588;220073;
;1190304: Cabeceiras de Basto;16659;8093;8566;
;1190307: Fafe;50576;23905;26671;
;1190308: Guimarães;158048;76666;81382;
;1191705: Mondim de Basto;7465;3588;3877;
;1190309: Póvoa de Lanhoso;21947;10441;11506;
;1190311: Vieira do Minho;12900;6202;6698;
;1190312: Vila Nova de Famalicão;134206;65004;69202;
;1190314: Vizela;23860;11689;12171;
;11A: Área Metropolitana do Porto;1758991;837819;921172;
;11A0104: Arouca;22231;10733;11498;
;11A0107: Espinho;31439;14901;16538;
;11A1304: Gondomar;168363;81037;87326;
;11A1306: Maia;135937;65100;70837;
;11A1308: Matosinhos;175869;83564;92305;
;11A0113: Oliveira de Azeméis;68568;33204;35364;
;11A1310: Paredes;87159;42681;44478;
;11A1312: Porto;233061;105866;127195;
;11A1313: Póvoa de Varzim;63504;30020;33484;
;11A0109: Santa Maria da Feira;140007;67688;72319;
;11A1314: Santo Tirso;71451;34231;37220;
;11A0116: São João da Madeira;21749;10248;11501;
;11A1318: Trofa;39010;18812;20198;
;11A0119: Vale de Cambra;22772;11030;11742;
;11A1315: Valongo;94577;45289;49288;
;11A1316: Vila do Conde;79864;38592;41272;
;11A1317: Vila Nova de Gaia;303430;144823;158607;
;11B: Alto Tâmega;93615;44860;48755;
;11B1702: Boticas;5694;2741;2953;
;11B1703: Chaves;41225;19730;21495;
;11B1706: Montalegre;10387;5014;5373;
;11B1709: Ribeira de Pena;6517;3198;3319;
;11B1712: Valpaços;16699;7866;8833;
;11B1713: Vila Pouca de Aguiar;13093;6311;6782;
;11C: Tâmega e Sousa;432946;210574;222372;
;11C1301: Amarante;56099;26875;29224;
;11C1302: Baião;20394;9760;10634;
;11C0106: Castelo de Paiva;16642;8129;8513;
;11C0305: Celorico de Basto;20087;9739;10348;
;11C1804: Cinfães;20254;9836;10418;
;11C1303: Felgueiras;58126;28085;30041;
;11C1305: Lousada;47547;23135;24412;
;11C1307: Marco de Canaveses;53521;26073;27448;
;11C1309: Paços de Ferreira;56769;28307;28462;
;11C1311: Penafiel;72227;35146;37081;
;11C1813: Resende;11280;5489;5791;
;11D: Douro;204121;97601;106520;
;11D1701: Alijó;11840;5712;6128;
;11D1801: Armamar;6258;2953;3305;
;11D0403: Carrazeda de Ansiães;6297;3029;3268;
;11D0404: Freixo de Espada à Cinta;3736;1800;1936;
;11D1805: Lamego;26566;12666;13900;
;11D1704: Mesão Frio;4386;2081;2305;
;11D1807: Moimenta da Beira;10190;4882;5308;
;11D1707: Murça;5938;2880;3058;
;11D1812: Penedono;2927;1403;1524;
;11D1708: Peso da Régua;17036;8068;8968;
;11D1710: Sabrosa;6339;3053;3286;
;11D1711: Santa Marta de Penaguião;7274;3422;3852;
;11D1815: São João da Pesqueira;7799;3845;3954;
;11D1818: Sernancelhe;5673;2750;2923;
;11D1819: Tabuaço;6347;3038;3309;
;11D1820: Tarouca;8018;3881;4137;
;11D0409: Torre de Moncorvo;8497;4069;4428;
;11D0914: Vila Nova de Foz Côa;7218;3406;3812;
;11D1714: Vila Real;51782;24663;27119;
;11E: Terras de Trás-os-Montes;116713;56213;60500;
;11E0401: Alfândega da Fé;5035;2437;2598;
;11E0402: Bragança;35273;16965;18308;
;11E0405: Macedo de Cavaleiros;15646;7417;8229;
;11E0406: Miranda do Douro;7458;3665;3793;
;11E0407: Mirandela;23669;11250;12419;
;11E0408: Mogadouro;9435;4636;4799;
;11E0410: Vila Flor;6636;3180;3456;
;11E0411: Vimioso;4610;2250;2360;
;11E0412: Vinhais;8951;4413;4538;
;16: Centro;2316169;1103433;1212736;
;16B: Oeste;362311;174635;187676;
;16B1001: Alcobaça;56472;27296;29176;
;16B1101: Alenquer;43285;21045;22240;
;16B1102: Arruda dos Vinhos;13702;6701;7001;
;16B1005: Bombarral;13102;6307;6795;
;16B1104: Cadaval;14196;6851;7345;
;16B1006: Caldas da Rainha;51791;24498;27293;
;16B1108: Lourinhã;25752;12479;13273;
;16B1011: Nazaré;14988;7125;7863;
;16B1012: Óbidos;11768;5713;6055;
;16B1014: Peniche;27581;13316;14265;
;16B1112: Sobral de Monte Agraço;10169;5001;5168;
;16B1113: Torres Vedras;79505;38303;41202;
;16D: Região de Aveiro;369287;176315;192972;
;16D0101: Águeda;47572;22791;24781;
;16D0102: Albergaria-a-Velha;25089;12123;12966;
;16D0103: Anadia;28958;13844;15114;
;16D0105: Aveiro;78093;36838;41255;
;16D0108: Estarreja;26878;12939;13939;
;16D0110: Ílhavo;38556;18336;20220;
;16D0112: Murtosa;10533;5060;5473;
;16D0114: Oliveira do Bairro;23201;10997;12204;
;16D0115: Ovar;55244;26513;28731;
;16D0117: Sever do Vouga;12253;5908;6345;
;16D0118: Vagos;22910;10966;11944;
;16E: Região de Coimbra;456871;215785;241086;
;16E0601: Arganil;12027;5726;6301;
;16E0602: Cantanhede;36571;17344;19227;
;16E0603: Coimbra;141360;65876;75484;
;16E0604: Condeixa-a-Nova;17234;8046;9188;
;16E0605: Figueira da Foz;61918;29215;32703;
;16E0606: Góis;4187;1956;2231;
;16E0607: Lousã;17549;8490;9059;
;16E0111: Mealhada;20388;9761;10627;
;16E0608: Mira;12410;5863;6547;
;16E0609: Miranda do Corvo;13094;6302;6792;
;16E0610: Montemor-o-Velho;26138;12569;13569;
;16E1808: Mortágua;9531;4546;4985;
;16E0611: Oliveira do Hospital;20722;9929;10793;
;16E0612: Pampilhosa da Serra;4430;2042;2388;
;16E0613: Penacova;15091;7114;7977;
;16E0614: Penela;5910;2788;3122;
;16E0615: Soure;19033;9037;9996;
;16E0616: Tábua;12012;5714;6298;
;16E0617: Vila Nova de Poiares;7266;3467;3799;
;16F: Região de Leiria;293941;141098;152843;
;16F1002: Alvaiázere;7222;3374;3848;
;16F1003: Ansião;13035;6138;6897;
;16F1004: Batalha;15825;7624;8201;
;16F1007: Castanheira de Pêra;3122;1477;1645;
;16F1008: Figueiró dos Vinhos;6102;2863;3239;
;16F1009: Leiria;126753;61117;65636;
;16F1010: Marinha Grande;38741;18591;20150;
;16F1013: Pedrógão Grande;3850;1824;2026;
;16F1015: Pombal;55018;26275;28743;
;16F1016: Porto de Mós;24273;11815;12458;
;16G: Viseu Dão Lafões;266207;125990;140217;
;16G0901: Aguiar da Beira;5410;2540;2870;
;16G1802: Carregal do Sal;9784;4638;5146;
;16G1803: Castro Daire;15182;7292;7890;
;16G1806: Mangualde;19772;9498;10274;
;16G1809: Nelas;13951;6618;7333;
;16G1810: Oliveira de Frades;10246;4862;5384;
;16G1811: Penalva do Castelo;7893;3776;4117;
;16G1814: Santa Comba Dão;11474;5392;6082;
;16G1816: São Pedro do Sul;16695;7809;8886;
;16G1817: Sátão;12370;5861;6509;
;16G1821: Tondela;28733;13631;15102;
;16G1822: Vila Nova de Paiva;5135;2431;2704;
;16G1823: Viseu;99093;46663;52430;
;16G1824: Vouzela;10469;4979;5490;
;16H: Beira Baixa;88134;41896;46238;
;16H0502: Castelo Branco;55600;26387;29213;
;16H0505: Idanha-a-Nova;9566;4553;5013;
;16H0506: Oleiros;5648;2677;2971;
;16H0507: Penamacor;5585;2721;2864;
;16H0508: Proença-a-Nova;8240;3933;4307;
;16H0511: Vila Velha de Ródão;3495;1625;1870;
;16I: Médio Tejo;245940;116910;129030;
;16I1401: Abrantes;38831;18670;20161;
;16I1402: Alcanena;13729;6594;7135;
;16I1408: Constância;4052;1930;2122;
;16I1410: Entroncamento;20322;9636;10686;
;16I1411: Ferreira do Zêzere;8562;4056;4506;
;16I1413: Mação;7235;3439;3796;
;16I1421: Ourém;45885;21613;24272;
;16I1417: Sardoal;3945;1927;2018;
;16I0509: Sertã;15770;7476;8294;
;16I1418: Tomar;40208;19027;21181;
;16I1419: Torres Novas;36590;17408;19182;
;16I0510: Vila de Rei;3470;1580;1890;
;16I1420: Vila Nova da Barquinha;7341;3554;3787;
;16J: Beiras e Serra da Estrela;233478;110804;122674;
;16J0902: Almeida;7066;3304;3762;
;16J0501: Belmonte;6808;3273;3535;
;16J0903: Celorico da Beira;7608;3571;4037;
;16J0503: Covilhã;51196;24402;26794;
;16J0904: Figueira de Castelo Rodrigo;6224;2979;3245;
;16J0905: Fornos de Algodres;4965;2324;2641;
;16J0504: Fundão;28940;13850;15090;
;16J0906: Gouveia;13892;6408;7484;
;16J0907: Guarda;42126;20083;22043;
;16J0908: Manteigas;3400;1608;1792;
;16J0909: Mêda;5118;2425;2693;
;16J0910: Pinhel;9503;4511;4992;
;16J0911: Sabugal;12351;5791;6560;
;16J0912: Seia;24466;11620;12846;
;16J0913: Trancoso;9815;4655;5160;
;17: Área Metropolitana de Lisboa;2827050;1336350;1490700;
;170: Área Metropolitana de Lisboa;2827050;1336350;1490700;
;1701502: Alcochete;17916;8644;9272;
;1701503: Almada;173574;82221;91353;
;1701115: Amadora;175738;82551;93187;
;1701504: Barreiro;78574;37162;41412;
;1701105: Cascais;207924;97548;110376;
;1701106: Lisboa;542440;248582;293858;
;1701107: Loures;201442;96251;105191;
;1701109: Mafra;78233;38062;40171;
;1701506: Moita;66125;31701;34424;
;1701507: Montijo;52347;25304;27043;
;1701116: Odivelas;147563;70106;77457;
;1701110: Oeiras;172764;80380;92384;
;1701508: Palmela;63412;30688;32724;
;1701510: Seixal;160237;76808;83429;
;1701511: Sesimbra;49969;24540;25429;
;1701512: Setúbal;120864;57799;63065;
;1701111: Sintra;379786;181594;198192;
;1701114: Vila Franca de Xira;138142;66409;71733;
;18: Alentejo;754385;365209;389176;
;181: Alentejo Litoral;97878;48583;49295;
;1811501: Alcácer do Sal;12938;6268;6670;
;1811505: Grândola;14915;7588;7327;
;1810211: Odemira;26010;13116;12894;
;1811509: Santiago do Cacém;29830;14620;15210;
;1811513: Sines;14185;6991;7194;
;184: Baixo Alentejo;125875;61513;64362;
;1840201: Aljustrel;9146;4518;4628;
;1840202: Almodôvar;7387;3635;3752;
;1840203: Alvito;2527;1214;1313;
;1840204: Barrancos;1807;877;930;
;1840205: Beja;35616;17282;18334;
;1840206: Castro Verde;7295;3582;3713;
;1840207: Cuba;4898;2400;2498;
;1840208: Ferreira do Alentejo;8253;4013;4240;
;1840209: Mértola;7147;3524;3623;
;1840210: Moura;15005;7349;7656;
;1840212: Ourique;5322;2611;2711;
;1840213: Serpa;15570;7616;7954;
;1840214: Vidigueira;5902;2892;3010;
;185: Lezíria do Tejo;247587;119254;128333;
;1851403: Almeirim;23483;11120;12363;
;1851404: Alpiarça;7652;3677;3975;
;1851103: Azambuja;22078;11291;10787;
;1851405: Benavente;29372;14313;15059;
;1851406: Cartaxo;24522;11845;12677;
;1851407: Chamusca;10071;4853;5218;
;1851409: Coruche;19762;9444;10318;
;1851412: Golegã;5875;2739;3136;
;1851414: Rio Maior;21201;10261;10940;
;1851415: Salvaterra de Magos;22223;10650;11573;
;1851416: Santarém;61348;29061;32287;
;186: Alto Alentejo;117357;56189;61168;
;1861201: Alter do Chão;3556;1678;1878;
